,timeStamp,resourceId,value,subjectId
165,"12/20/2023, 00:08:39",3.1.85,1,lumi.54ef44100051ac99
164,"12/20/2023, 00:12:32",3.1.85,1,lumi.54ef44100051ac99
163,"12/20/2023, 00:22:50",3.1.85,1,lumi.54ef44100051ac99
162,"12/20/2023, 00:25:48",3.1.85,1,lumi.54ef44100051ac99
161,"12/20/2023, 00:26:57",3.1.85,1,lumi.54ef44100051ac99
160,"12/20/2023, 00:33:47",3.1.85,1,lumi.54ef44100051ac99
159,"12/20/2023, 00:50:04",3.1.85,1,lumi.54ef44100051ac99
158,"12/20/2023, 00:58:25",3.1.85,1,lumi.54ef44100051ac99
157,"12/20/2023, 00:59:23",3.1.85,1,lumi.54ef44100051ac99
156,"12/20/2023, 06:29:10",3.1.85,1,lumi.54ef44100051ac99
155,"12/20/2023, 08:27:18",3.1.85,1,lumi.54ef44100051ac99
154,"12/20/2023, 08:28:40",3.1.85,1,lumi.54ef44100051ac99
153,"12/20/2023, 08:30:39",3.1.85,1,lumi.54ef44100051ac99
152,"12/20/2023, 08:34:05",3.1.85,1,lumi.54ef44100051ac99
151,"12/20/2023, 08:35:47",3.1.85,1,lumi.54ef44100051ac99
150,"12/20/2023, 08:37:35",3.1.85,1,lumi.54ef44100051ac99
149,"12/20/2023, 08:38:33",3.1.85,1,lumi.54ef44100051ac99
148,"12/20/2023, 08:39:32",3.1.85,1,lumi.54ef44100051ac99
147,"12/20/2023, 08:40:31",3.1.85,1,lumi.54ef44100051ac99
146,"12/20/2023, 08:41:29",3.1.85,1,lumi.54ef44100051ac99
145,"12/20/2023, 08:42:55",3.1.85,1,lumi.54ef44100051ac99
144,"12/20/2023, 08:43:53",3.1.85,1,lumi.54ef44100051ac99
143,"12/20/2023, 08:44:52",3.1.85,1,lumi.54ef44100051ac99
142,"12/20/2023, 08:45:53",3.1.85,1,lumi.54ef44100051ac99
141,"12/20/2023, 18:04:01",3.1.85,1,lumi.54ef44100051ac99
140,"12/20/2023, 18:05:00",3.1.85,1,lumi.54ef44100051ac99
139,"12/20/2023, 18:05:59",3.1.85,1,lumi.54ef44100051ac99
138,"12/20/2023, 18:06:59",3.1.85,1,lumi.54ef44100051ac99
137,"12/20/2023, 18:08:15",3.1.85,1,lumi.54ef44100051ac99
136,"12/20/2023, 18:09:14",3.1.85,1,lumi.54ef44100051ac99
135,"12/20/2023, 18:10:27",3.1.85,1,lumi.54ef44100051ac99
134,"12/20/2023, 18:11:26",3.1.85,1,lumi.54ef44100051ac99
133,"12/20/2023, 18:12:38",3.1.85,1,lumi.54ef44100051ac99
132,"12/20/2023, 18:13:38",3.1.85,1,lumi.54ef44100051ac99
131,"12/20/2023, 18:14:46",3.1.85,1,lumi.54ef44100051ac99
130,"12/20/2023, 18:15:49",3.1.85,1,lumi.54ef44100051ac99
129,"12/20/2023, 18:16:50",3.1.85,1,lumi.54ef44100051ac99
128,"12/20/2023, 18:18:05",3.1.85,1,lumi.54ef44100051ac99
127,"12/20/2023, 18:19:03",3.1.85,1,lumi.54ef44100051ac99
126,"12/20/2023, 18:20:02",3.1.85,1,lumi.54ef44100051ac99
125,"12/20/2023, 18:22:05",3.1.85,1,lumi.54ef44100051ac99
124,"12/20/2023, 18:23:37",3.1.85,1,lumi.54ef44100051ac99
123,"12/20/2023, 18:24:35",3.1.85,1,lumi.54ef44100051ac99
122,"12/20/2023, 18:25:34",3.1.85,1,lumi.54ef44100051ac99
121,"12/20/2023, 18:26:38",3.1.85,1,lumi.54ef44100051ac99
120,"12/20/2023, 18:27:36",3.1.85,1,lumi.54ef44100051ac99
119,"12/20/2023, 18:41:27",3.1.85,1,lumi.54ef44100051ac99
118,"12/20/2023, 18:43:43",3.1.85,1,lumi.54ef44100051ac99
117,"12/20/2023, 19:36:06",3.1.85,1,lumi.54ef44100051ac99
116,"12/20/2023, 19:37:04",3.1.85,1,lumi.54ef44100051ac99
115,"12/20/2023, 19:40:21",3.1.85,1,lumi.54ef44100051ac99
114,"12/20/2023, 19:41:19",3.1.85,1,lumi.54ef44100051ac99
113,"12/20/2023, 19:42:17",3.1.85,1,lumi.54ef44100051ac99
112,"12/20/2023, 19:56:13",3.1.85,1,lumi.54ef44100051ac99
111,"12/20/2023, 20:03:46",3.1.85,1,lumi.54ef44100051ac99
110,"12/20/2023, 20:05:02",3.1.85,1,lumi.54ef44100051ac99
109,"12/20/2023, 20:06:05",3.1.85,1,lumi.54ef44100051ac99
108,"12/20/2023, 20:07:23",3.1.85,1,lumi.54ef44100051ac99
107,"12/20/2023, 20:08:21",3.1.85,1,lumi.54ef44100051ac99
106,"12/20/2023, 20:09:19",3.1.85,1,lumi.54ef44100051ac99
105,"12/20/2023, 20:10:51",3.1.85,1,lumi.54ef44100051ac99
104,"12/20/2023, 20:33:24",3.1.85,1,lumi.54ef44100051ac99
103,"12/20/2023, 20:34:22",3.1.85,1,lumi.54ef44100051ac99
102,"12/20/2023, 20:35:22",3.1.85,1,lumi.54ef44100051ac99
101,"12/20/2023, 20:36:20",3.1.85,1,lumi.54ef44100051ac99
100,"12/20/2023, 20:37:19",3.1.85,1,lumi.54ef44100051ac99
99,"12/20/2023, 20:38:17",3.1.85,1,lumi.54ef44100051ac99
98,"12/20/2023, 20:39:15",3.1.85,1,lumi.54ef44100051ac99
97,"12/20/2023, 20:40:14",3.1.85,1,lumi.54ef44100051ac99
96,"12/20/2023, 20:56:00",3.1.85,1,lumi.54ef44100051ac99
95,"12/20/2023, 20:58:06",3.1.85,1,lumi.54ef44100051ac99
94,"12/20/2023, 21:21:44",3.1.85,1,lumi.54ef44100051ac99
93,"12/20/2023, 21:46:59",3.1.85,1,lumi.54ef44100051ac99
92,"12/20/2023, 22:03:20",3.1.85,1,lumi.54ef44100051ac99
91,"12/20/2023, 22:04:20",3.1.85,1,lumi.54ef44100051ac99
90,"12/20/2023, 22:30:24",3.1.85,1,lumi.54ef44100051ac99
89,"12/20/2023, 23:38:41",3.1.85,1,lumi.54ef44100051ac99
88,"12/21/2023, 01:30:07",3.1.85,1,lumi.54ef44100051ac99
87,"12/21/2023, 01:31:47",3.1.85,1,lumi.54ef44100051ac99
86,"12/21/2023, 06:53:11",3.1.85,1,lumi.54ef44100051ac99
85,"12/21/2023, 08:22:52",3.1.85,1,lumi.54ef44100051ac99
84,"12/21/2023, 08:35:06",3.1.85,1,lumi.54ef44100051ac99
83,"12/21/2023, 08:36:04",3.1.85,1,lumi.54ef44100051ac99
82,"12/21/2023, 08:37:02",3.1.85,1,lumi.54ef44100051ac99
81,"12/21/2023, 08:42:40",3.1.85,1,lumi.54ef44100051ac99
80,"12/21/2023, 08:43:38",3.1.85,1,lumi.54ef44100051ac99
79,"12/21/2023, 08:44:42",3.1.85,1,lumi.54ef44100051ac99
78,"12/21/2023, 08:45:41",3.1.85,1,lumi.54ef44100051ac99
77,"12/21/2023, 08:47:17",3.1.85,1,lumi.54ef44100051ac99
76,"12/21/2023, 08:48:49",3.1.85,1,lumi.54ef44100051ac99
75,"12/21/2023, 08:49:47",3.1.85,1,lumi.54ef44100051ac99
74,"12/21/2023, 08:50:45",3.1.85,1,lumi.54ef44100051ac99
73,"12/21/2023, 08:51:44",3.1.85,1,lumi.54ef44100051ac99
