,timeStamp,resourceId,value,subjectId
235,"01/03/2024, 00:38:04",0.3.85,101820,lumi.54ef4410004b19e8
234,"01/03/2024, 00:51:42",0.1.85,2055,lumi.54ef4410004b19e8
233,"01/03/2024, 00:51:42",0.2.85,6192,lumi.54ef4410004b19e8
232,"01/03/2024, 00:51:42",0.3.85,101800,lumi.54ef4410004b19e8
231,"01/03/2024, 01:46:19",0.1.85,2058,lumi.54ef4410004b19e8
230,"01/03/2024, 01:46:19",0.2.85,6245,lumi.54ef4410004b19e8
229,"01/03/2024, 01:46:19",0.3.85,101800,lumi.54ef4410004b19e8
228,"01/03/2024, 02:23:28",0.3.85,101850,lumi.54ef4410004b19e8
227,"01/03/2024, 02:40:56",0.1.85,2064,lumi.54ef4410004b19e8
226,"01/03/2024, 02:40:56",0.2.85,6257,lumi.54ef4410004b19e8
225,"01/03/2024, 02:40:56",0.3.85,101800,lumi.54ef4410004b19e8
224,"01/03/2024, 02:50:04",0.3.85,101820,lumi.54ef4410004b19e8
223,"01/03/2024, 03:34:28",0.3.85,101790,lumi.54ef4410004b19e8
222,"01/03/2024, 03:35:34",0.1.85,2063,lumi.54ef4410004b19e8
221,"01/03/2024, 03:35:34",0.2.85,6231,lumi.54ef4410004b19e8
220,"01/03/2024, 03:35:34",0.3.85,101700,lumi.54ef4410004b19e8
219,"01/03/2024, 04:04:21",0.3.85,101760,lumi.54ef4410004b19e8
218,"01/03/2024, 04:28:33",0.3.85,101730,lumi.54ef4410004b19e8
217,"01/03/2024, 04:30:11",0.1.85,2058,lumi.54ef4410004b19e8
216,"01/03/2024, 04:30:11",0.2.85,6260,lumi.54ef4410004b19e8
215,"01/03/2024, 04:30:11",0.3.85,101700,lumi.54ef4410004b19e8
214,"01/03/2024, 05:06:36",0.3.85,101700,lumi.54ef4410004b19e8
213,"01/03/2024, 05:24:48",0.1.85,2061,lumi.54ef4410004b19e8
212,"01/03/2024, 05:24:48",0.2.85,6290,lumi.54ef4410004b19e8
211,"01/03/2024, 05:24:48",0.3.85,101700,lumi.54ef4410004b19e8
210,"01/03/2024, 05:58:30",0.3.85,101670,lumi.54ef4410004b19e8
209,"01/03/2024, 06:19:25",0.1.85,2064,lumi.54ef4410004b19e8
208,"01/03/2024, 06:19:25",0.2.85,6268,lumi.54ef4410004b19e8
207,"01/03/2024, 06:19:25",0.3.85,101600,lumi.54ef4410004b19e8
206,"01/03/2024, 07:14:03",0.1.85,2068,lumi.54ef4410004b19e8
205,"01/03/2024, 07:14:03",0.2.85,6266,lumi.54ef4410004b19e8
204,"01/03/2024, 07:14:03",0.3.85,101600,lumi.54ef4410004b19e8
203,"01/03/2024, 07:19:43",0.3.85,101700,lumi.54ef4410004b19e8
202,"01/03/2024, 07:59:56",0.3.85,101730,lumi.54ef4410004b19e8
201,"01/03/2024, 08:08:40",0.1.85,2070,lumi.54ef4410004b19e8
200,"01/03/2024, 08:08:40",0.2.85,6253,lumi.54ef4410004b19e8
199,"01/03/2024, 08:08:40",0.3.85,101700,lumi.54ef4410004b19e8
198,"01/03/2024, 08:56:33",0.3.85,101760,lumi.54ef4410004b19e8
197,"01/03/2024, 09:03:17",0.1.85,2073,lumi.54ef4410004b19e8
196,"01/03/2024, 09:03:17",0.2.85,6236,lumi.54ef4410004b19e8
195,"01/03/2024, 09:03:17",0.3.85,101700,lumi.54ef4410004b19e8
194,"01/03/2024, 09:57:54",0.1.85,2063,lumi.54ef4410004b19e8
193,"01/03/2024, 09:57:54",0.2.85,6080,lumi.54ef4410004b19e8
192,"01/03/2024, 09:57:54",0.3.85,101700,lumi.54ef4410004b19e8
191,"01/03/2024, 10:51:04",0.3.85,101730,lumi.54ef4410004b19e8
