,startdate,enddate,date,created,modified,wakeupduration,wakeupcount,durationtosleep,remsleepduration,durationtowakeup,total_timeinbed,total_sleep_time,sleep_efficiency,sleep_latency,wakeup_latency,waso,nb_rem_episodes,out_of_bed_count,lightsleepduration,deepsleepduration
0,2023-08-08 00:43:S.000000,2023-08-08 10:23:S.000000,2023-08-08,2023-08-08 03:14:S.000000,2023-08-08 12:26:S.000000,3420,3,1260,4980,1500,33180,29760,0.9,1260,1500,2280,3,3,13800,10980
1,2023-08-08 13:52:S.000000,2023-08-08 14:49:S.000000,2023-08-08,2023-08-08 14:50:S.000000,2023-08-08 16:52:S.000000,2580,0,2580,0,0,3420,840,0.25,2580,0,0,0,0,300,540
2,2023-08-09 02:42:S.000000,2023-08-09 04:13:S.000000,2023-08-09,2023-08-09 04:16:S.000000,2023-08-09 06:16:S.000000,660,0,660,0,0,5460,4800,0.88,660,0,0,0,0,2700,2100
3,2023-08-09 09:02:S.000000,2023-08-09 10:50:S.000000,2023-08-09,2023-08-09 09:22:S.000000,2023-08-09 12:53:S.000000,3960,1,660,0,1920,5280,1320,0.25,660,1920,2580,0,1,1320,0
4,2023-08-10 01:33:S.000000,2023-08-10 10:03:S.000000,2023-08-10,2023-08-10 05:32:S.000000,2023-08-10 12:06:S.000000,5580,3,420,4200,900,28500,22920,0.8,420,900,6360,2,8,15300,3420
5,2023-08-10 12:59:S.000000,2023-08-10 15:10:S.000000,2023-08-10,2023-08-10 15:11:S.000000,2023-08-10 17:13:S.000000,1620,0,1620,0,0,7860,6240,0.79,1620,0,0,0,0,5220,1020
6,2023-08-11 00:47:S.000000,2023-08-11 10:22:S.000000,2023-08-11,2023-08-11 01:48:S.000000,2023-08-11 12:30:S.000000,5280,5,780,3240,1320,25920,20640,0.8,780,1320,11760,4,7,11700,5700
7,2023-08-12 00:26:S.000000,2023-08-12 08:35:S.000000,2023-08-12,2023-08-12 06:09:S.000000,2023-08-12 10:38:S.000000,3360,1,2880,3300,0,27720,24360,0.88,2880,0,2100,2,1,14400,6660
8,2023-08-13 00:46:S.000000,2023-08-13 10:59:S.000000,2023-08-13,2023-08-13 03:43:S.000000,2023-08-13 13:05:S.000000,4260,4,2160,4680,0,31200,26940,0.86,2160,0,7680,2,4,12660,9600
9,2023-08-14 00:20:S.000000,2023-08-14 07:09:S.000000,2023-08-14,2023-08-14 04:24:S.000000,2023-08-14 09:12:S.000000,9360,1,8940,2220,0,23640,14280,0.6,8940,0,1320,1,1,3960,8100
